title,prerequisites,description,is_project_based,languages,is_spring_26,url,days (spring 26),times (spring 26),location (spring 26),professor (spring 26)
COMP_SCI 496: Topics in Computational Imaging,Permission by instructor,"Students will cover select advanced topics in computational imaging through detailed readings, presentations, and discussions. The course takes a seminar format and focus areas will change from year to year. Prerequisites: foundations in physics or CS or EE, at least bachelor level; instructor permission This course fulfills the Technical Elective area. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Emma Alexander COURSE INSTRUCTOR: Emma Alexander COURSE GOALS:",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-2.html,,,,
COMP_SCI 496: Advanced System Security,PhD Students or Instructor permission,Under Construction - Coming Soon REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Xinyu Xing COURSE INSTRUCTOR: Prof. Xinyu Xing (Spring),0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-29-xxing.html,,,,
COMP_SCI 396: Health Tech,CS 349 or Instructor permission,"Welcome to Health Tech! In this course, we will explore the foundational concepts, technical frameworks, and systemic challenges of deploying new technologies within the healthcare industry. Our curriculum is structured to provide deep dives into key areas where computer science and artificial intelligence are transforming the healthcare industry, including: Foundational Technologies: Data infrastructure and management. Clinical Practice: Advanced machine learning models and their applications in diagnostics and clinical decision support. Biomaterials: Emerging technologies such as bionic devices and advanced tissues. Modern Therapeutics & Bioinformatics: Innovations in AI-accelerated drug design, gene therapy, and mRNA technology. Clinical Trials & Delivery: New models for patient data collection, adaptive trial design, regulatory processes, and successful clinical integration. This course fulfills CS Technical Elective area. By the end of this course, you will understand both the cutting-edge tools currently redefining patient care and the effective strategies required for their successful and ethical integration into the clinical environment Syllabus . REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Joshua DeAndria COURSE INSTRUCTOR: Prof. Joshua DeAndria",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-19.html,,,,
"COMP_SCI 396, 496: Machine Learning and Sensing","PhDs in CS, TSB, CE, EE or ME. Undergrad/Masters who have completed COMP_SCI 150. No permission from instructor required. The course expects students to have a background in python programming.","Additional Prerequisites: * Introduction to Machine Learning * Python Programming * Linear Algebra * Probability and Statistics Modern technology relies heavily on the ability to process and understand sensor data through machine learning. Whether it's a smartphone interpreting touch gestures, smart speakers recognizing voice commands, or autonomous vehicles perceiving their environment, the challenge lies in extracting reliable information from complex sensor inputs. This course examines this critical intersection, teaching students how to build intelligent sensing systems from the ground up. Through practical assignments and hands-on projects, students will learn the complete pipeline: collecting sensor data, data and signal pre-processing, feature engineering, developing machine learning models, and visualizing results. The course emphasizes real-world applications through interactive demonstrations, in class tutorials and collaborative project work, with special focus on cutting-edge deep learning techniques for processing multimodal sensor data. Students will develop their skills through technical assignments and a team project, preparing them to develop next-generation sensing applications ( Syllabus ). REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Prof. Ahuja COURSE INSTRUCTOR: Prof. Ahuja (Spring)",1,Python,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-22.html,TuTh,3:30PM-4:50PM,Tech Institute,Karan Ahuja
COMP_SCI 496: Special Topics In Data Systems Seminar,Permission by instructor,"As LLMs are increasingly embedded in real-world systems, prompts have become the primary means of encoding user intent. They steer data retrieval, direct output generation, recover from runtime errors, and coordinate tool use. However, despite their centrality, prompts are often crafted manually in an unrigorous trial-and-error approach, and most LLM pipelines fail to appropriately version or track prompt evolution in a systematic fashion. Even worse, they typically remain as static, opaque strings, completely detached from the broader program logic. At the same time, these pipelines are rapidly evolving into complex data-centric applications that involve interactions with knowledge bases, conditional fallback, data validation, and multi-agent orchestration. Several popular frameworks (e.g., LangChain, DSPy) allow developers to easily construct LLM processing pipelines, and semantic query engines provide a declarative interface to LLM-augmented query processing. Yet, in all of these approaches, prompt logic exists completely outside the system, a black box that stays entirely hidden to the optimizer and execution engine during runtime. This course will explore modern data systems that integrate LLMs as a fundamental component of the query processing engine. It is intended for graduate and advanced undergraduate students interested in systems research. Students will learn how to: (1) read and critically evaluate systems research papers; (2) craft presentations that distill and convey core research ideas; and (3) plan and execute a final project that answers an interesting systems research question. This course fulfills the Technical Elective area. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Andrew Crotty COURSE INSTRUCTOR: Andrew Crotty",1,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-15.html,We,3:00PM-5:50PM,Tech Institute,Andrew Crotty
COMP_SCI 307: Introduction to Cryptography,COMP_SCI 212 or Instructor Consent,"This course covers the basic knowledge in understanding and using cryptography. The main focus is on definitions, theoretical foundations, and rigorous proofs of security, with some programming practice. Topics include symmetric and public-key encryption, message integrity, hash functions, block-cipher design and analysis, number theory, and digital signatures. Overview This course is an undergraduate introduction to cryptography, aiming to present the theoretical foundations of cryptosystems used in the real world. In this class, we will look ""under the hood"" about common cryptographic objects to get a better understanding of various cryptographic primitives, algorithms, attacks, and protocols. RECOMMENDED TEXTBOOK: Introduction to Modern Cryptography, 2nd edition . Students are strongly advised to obtain a physical copy of the book since exams will be ""open book"" with no electronic devices permitted. Assignments will be picked from this book. Prerequisites. No advanced mathematics background is assumed, but students are expected to have ""mathematical maturity"" since many of the concepts will be abstract, rigorous definitions and proofs will be given, and some new mathematics (e.g., group theory, number theory) will be introduced. Basic background in discrete mathematics (probability, modular arithmetic) and a basic background in algorithms (big-O notation and worst-case analysis, reading pseudocode) is assumed. This course fulfills the Technical Elective area. Formerly Comp_Sci 396 - last offer was Fall 2022 DETAILED COURSE TOPICS: Symmetric-key Cryptography. - The syntax of private-key encryption. The classical ciphers. Elementary cryptanalysis and frequency analysis. - Perfect secrecy. The one-time pad. - A computational notion of security. Pseudorandomness and pseudorandom generators. The pseudo-OTP. - Proofs by reduction, and a proof of security for the pseudo-OTP. Pseudorandom functions, Pseudorandom permutations and block ciphers. - Security for multiple encryptions.  CPA-security from pseudorandom functions. - Block-cipher and stream-cipher modes of operation. - Chosen-ciphertext attacks and CCA-security. - Defining security for MACs. A fixed-length MAC. MACs for arbitrary-length messages. CBC-MAC and HMAC. - Padding-oracle attacks. Authenticated encryption and generic constructions. - Hash functions and collision resistance. Birthday attacks on hash functions. The Merkle-Damgard transform. Hash functions as random oracles. Additional applications of hash functions. Public-key Cryptography. - Group theory. - The discrete-logarithm assumption and the Diffie-Hellman assumption. - Diffie-Hellman key-exchange protocol. - El-Gamal encryption. - Hybrid encryption and the KEM/DEM paradigm. - Digital signatures. - The hash-and-sign paradigm. - Certificates and public-key infrastructures. COURSE COORDINATOR: Prof. Xiao Wang COURSE INSTRUCTOR: Prof. Wang",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/307.html,,,,
COMP_SCI 375: Digital Musical Instrument Design,"Enrollment will be by permission only, students interested in taking this course should fill out the DMID Questionnaire by February 19, 2026. See description below for more details.","Digital Musical Instrument Design approaches Human Computer Interaction through the lens of artistic creation in sound. Its perspective sits at the intersection of design, engineering, musicianship, and the sonic arts. This course will introduce students to fundamentals of creating their own musical instruments using highly-accessible modern technologies in hardware and software. We will explore the influence and feedback between the tool (e.g. an instrument), the tool user (a musician/producer), the creative output (the music), as well as the audience. Along the way, we will learn about user interaction design, physical computing (using Arduino), sensor technologies, signal creation and interpretation (using Max or PureData), and musical expression. Students will create a new musical instrument by the end of the course and the final project will involve a performance using their instrument. Enrollment will be by permission only, students interested in taking this course should fill out the DMID Questionnaire by February 19, 2026 . Students will be informed of enrollment decisions by end of day February 21. The questionnaire can be found at https://forms.gle/or6jsSBPFGdXV5ty6 *The class will meet in the Human-Computer Interface and Design Center, in Frances Searle Building, room 1-122. This course is cross-listed with RTVF 376 Formerly Comp_Sci 497 - last offer was Spring 2025 This course fulfills Technical Elective area. Course Materials and Costs: There are no required books for this course, all texts will be provided online. The electronics parts and tools used to create your projects will be provided. The software needed to run your projects is either free to use, or can be used free during a 30-day trial period. Max, one of the software packages used, can be extended beyond its 30 day trial for $12.95/mo on personal computers, or can be used for free in the SoundTank computer lab. Learning Objectives At the end of this course, the student will be able to: Analyze and critique the design of musical instruments Design and construct basic sensor circuits for musical interaction Write code for the Arduino platform that can interpret and transmit data from sensor circuits Create interactive audio programs (in the Max platform) that map sensor data onto sound outputs Refine instrument designs to create specific sonic outcomes Evaluation Method Attendance and class participation are crucial to this class, and are therefore a significant part of the grade. In additional to a final project and final performance, there will be a smaller presentation and incremental assignments. Class Materials (Required) Attendance and class participation are crucial to this class, and are therefore a significant part of the grade. In additional to a final project and final performance, there will be a smaller presentation and incremental assignments. COURSE COORDINATORS: Prof. Bryan Pardo & Prof. Stephan Moore",1,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/375.html,Mo,5:00PM-8:50PM,Meets in Non-General PurposeRm,Stephen Moore
COMP_SCI 496: Reliable Machine Learning with Unreliable Black-box Models,"Permission from instructor (unless you're a PhD student, in which case it should be easy to register). Recommended: CS 336 (Algorithms)/ Theory ML course, Basic Probability/ Statistics course","Modern machine learning methods have made huge strides in recent years, in many domains. Even so, reliability of modern models remains poorly understood. Models often suffer from biases, overconfidence, and can fail unpredictably on new unseen data. As these models are increasingly used in high-stakes domains such as medicine, policy, self-driving technology and scientific discovery, establishing principled foundations of when and how to trust the predictions of these models has become a pressing concern. Theory offers a unique foothold for understanding reliability by providing formal guarantees. However, our current state of understanding of deep learning and other practical methods is far from being able to inform us when and why ML models fail, and how to foresee and avoid these failures. This course will cover new approaches towards statistical and computational foundations for the reliable use of powerful but opaque modern machine learning models, by treating such models as black boxes that may be unreliable or trained on mismatched data. Specific topics include Uncertainty Quantification including approaches like Conformal Prediction, Algorithms with Predictions and Data-Driven Algorithms, Reliability under Distribution Shift, Failure of Distributional Assumptions, and connections to Robust Statistics, and Calibration. This course fulfills the Technical Elective area. REFERENCE TEXTBOOKS: N/A REQUIRED TEXTBOOK: N/A COURSE COORDINATORS: Aravindan Vijayaraghavan COURSE INSTRUCTOR: Aravindan Vijayaraghavan & Vaidehi Srinivas",0,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-48.html,,,,
COMP_SCI 344: Design of Problem Solvers,COMP_SCI 348 and either COMP_SCI 325 or equivalent Lisp experience,"Principles and practice of organizing and building AI reasoning systems. Topics include pattern-directed rule systems, truth-maintenance systems, and constraint languages. This course satisfies the AI Breadth & Project Requirement REQUIRED TEXTS: Forbus, K. and de Kleer, J. Building Problem Solvers, MIT Press COURSE COORDINATOR: Prof. Kenneth D. Forbus COURSE GOALS: Building software that reasons is one of the key activities of artificial intelligence.  Such software lies at the heart of many of today's interesting technologies, such as on-board diagnosis systems, intelligent CAD systems, shopbots, natural language processing systems, and intelligent tutoring systems and learning environments.  Reasoning software is also used as a component in building cognitive simulations , software designed to model aspects of human cognition.  This course will teach you how to build such software.  What you should know after taking this course will include: A variety of ways to build AI reasoning systems. Tradeoffs that designers of reasoning systems face, and typical categories of solutions. How truth-maintenance systems work. How to use large-scale knowledge bases in building problem solvers. How to use analogical processing in building problem solvers. During the course you will be doing a lot of programming -- but very little of it from scratch!  Instead, you'll be working with software modules we've developed, using them, modifying them, and sometimes significantly extending them.   This way you spend more time learning the ideas than polishing your coding skills (although you will have ample opportunity to improve those as well). In addition to the material in the textbook, we cover several advanced topics, including using large knowledge bases, building federated reasoning systems, and analogical reasoning.   You will be working with FIRE, a new prototype reasoning system built at Northwestern that uses the ResearchCyc knowledge base. PREREQUISITES : COMP_SCI 348 and either COMP_SCI 325 or equivalent Lisp experience DETAILED COURSE TOPICS Searching and problem spaces Pattern-directed inference systems Fundamentals of truth maintenance systems Logic-based TMS Assumption-based TMS Reasoning with large knowledge bases Integrating special-purpose reasoning engines Analogical reasoning Other topics TBD COMPUTER USAGE: This course is taught by a combination of lecture and studio instruction.  We are relying on enough students bringing notebooks/tablets to class so that every pair of students has a machine.",1,,0,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/344.html,,,,
COMP_SCI 496: Visualization for Scientific Communication,,"This course focuses on developing visualizations for communicating in a scientific context: papers, posters, presentations, etc. Through mini-lectures and readings, it will provide a foundation in: (1) visual perception and visual design as they relate to information visualization; (2) the construction of effective data visualizations; (3) the effective use of visualization and text in scientific articles, posters, etc; and (4) careful and correct uncertainty visualization when communicating scientific results. Students are expected to bring some existing research project they are already working on; in a semester-long project they will design/redesign the visual communication of that work with detailed feedback from the instructor. No other background is assumed. Cross-listed with MTS 525-0-20 REQUIRED TEXTBOOK: N/A COURSE COORDINATOR : Prof. Matthew Jeremy Shaver Kay COURSE INSTRUCTOR : Prof. Kay COURSE GOALS : DETAILED COURSE TOPICS: ASSIGNMENTS :",1,,1,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-24.html,Mo,2:30PM-5:20PM,Fisk Hall,Matthew Kay
